Country,State,URL
Mexico,DistritoFederal,http://www.stjslp.gob.mx/transp/cont/sentencias/salas/2015//2015-01-23-867-2014.pdf
Peru,Arequipa,https://www.crop.org/viewfile.aspx?id=337
Mexico,Queretaro,https://www.itsanjuan.edu.mx/images/ServSocial/servicio/publicas/POD_LEG_EST%20.pdf
Mexico,Tamaulipas,https://core.ac.uk/download/pdf/230509401.pdf
Chile,RegiondeCoquimbo,http://www.indap.gob.cl/docs/default-source/default-document-library/proppauta_ja_combarbalaext_06mayo2019.pdf?sfvrsn=0
Chile,RegiondeAntofagasta,http://rchn.biologiachile.cl/pdfs/1993/1/Lazo_%26_Silva_1993.pdf
Mexico,Oaxaca,http://www.te.gob.mx/salasreg/ejecutoria/sentencias/xalapa/SX-JDC-0097-2014.pdf
Chile,RegiondeLaAraucania,http://www.victoriachile.cl/documentos/upload_files/49/Decreto_Alcaldicio_12_2159.pdf
Mexico,Hidalgo,https://www.setena.go.cr/wp-content/Doc/RESOLUCIONES%20COMISION%20PLENARIA/2014/RES-1830-2014.pdf
Guatemala,SantaRosa,https://www.usergioarboleda.edu.co/wp-content/uploads/2015/04/Cuadernos-del-pensamiento-221.pdf
Mexico,Puebla,http://infosen.senado.gob.mx/documentos/DIARIOS/1950_08_21-1950_12_30/1950_12_28_O.pdf
Peru,Callao,https://www.pvn.gob.pe/wp-content/uploads/2019/01/reporterequerimiento-12.pdf
Peru,Callao,https://www.mincetur.gob.pe/wp-content/uploads/documentos/comercio_exterior/Sites/Pecex/avance_regiones/Tumbes/PERX_tumbes.pdf
Guatemala,SanMarcos,https://repository.unad.edu.co/bitstream/handle/10596/5890/9789586515658.pdf?sequence=1&isAllowed=y
Peru,SanMartin,http://190.12.92.167/bitstream/handle/20.500.12543/4105/ANA0002565_1.pdf?sequence=1&isAllowed=y
Mexico,SanLuisPotosi,https://library.e.abb.com/public/d50e6b1dba9d4daa95ce8a9b665c2e68/ANC1901C00008625.pdf
Guatemala,Guatemala,http://www.repositorio.usac.edu.gt/3264/1/Erick%20Armando%20Perez%20Gamez.pdf
ElSalvador,Cabanas,http://lasflores.sumpul.com/librosdigitales/lacabana.pdf
Mexico,BajaCalifornia,http://documents.worldbank.org/curated/en/505091468279918313/pdf/659590SPANISH00mate0Change0Project.pdf
Peru,Cajamarca,https://www.sbpmat.org.br/16encontro/program/programBook.pdf
Chile,RegiondeCoquimbo,http://www.diarioeldia.cl/system/files/08-02-2020/binder1.pdf
Mexico,Yucatan,https://omacha.org/wp-content/uploads/2019/06/plan_de_manejo_de_los_humedales_de_la_rbt_jurisdicin_pto_carreno.pdf
ElSalvador,LaLibertad,https://www.marxists.org/espanol/kautsky/1899/kautsky-la-cuestion-agraria.pdf
Mexico,Durango,http://www.senado.gob.mx/comisiones/asuntos_migratorios/docs/legislacion/LG8.pdf
Peru,Lima,http://www.foncodes.gob.pe/portal/phocadownloadpap/nl20131222.pdf
Mexico,Tabasco,http://www.sct.gob.mx/fileadmin/DireccionesGrales/DGC/DGC/Licitaciones/Licitaciones_CF2017/diciembre/Tabasco.pdf
Guatemala,Quetzaltenango,http://www.correosytelegrafos.civ.gob.gt/ART10/inciso_22/CuadroGastos17.pdf
ElSalvador,LaUnion,https://www.sib.gob.gt/c/document_library/get_file?folderId=3546175&name=DLFE-26020.pdf
Mexico,Colima,http://www.uv.mx/personal/asuarez/files/2012/08/PROGRAMA-XI-AMMAC-Xalapa-Ver-oct-2012.pdf
Peru,Huancavelica,http://transparencia.mtc.gob.pe/idm_docs/normas_legales/1_0_3866.pdf
Guatemala,Guatemala,https://www.congreso.gob.gt/assets/uploads/info_legislativo/iniciativas/Registro2722.pdf
Peru,Ayacucho,ftp://ftpqw.qw.gob.pe/6PC/Documentos/REAYACUCHO1PRc2.pdf
Guatemala,Jalapa,http://201.134.138.242/boletines/boletinesLXIV/BOLETIN1550.pdf
Guatemala,Guatemala,http://www.fao.org/3/ca9109es/ca9109es.pdf
Mexico,Tlaxcala,http://www.sintesisdigital.com.mx:8383/20072019_ATLAX_01.pdf
ElSalvador,Morazan,http://www.snet.gob.sv/UserFiles/meteorologia/decadico132017.pdf
Peru,Callao,http://repositorio.unap.edu.pe/bitstream/handle/UNAP/584/EPG183-00231-01.pdf?sequence=1&isAllowed=y
Mexico,Guerrero,http://dspace.cibnor.mx:8080/bitstream/handle/123456789/313/tenorio_p.pdf?sequence=1&isAllowed=y
Guatemala,Guatemala,https://unfccc.int/files/national_reports/annex_i_natcom_/application/pdf/68037591_spain-nc7-1-7cn.pdf
Peru,Moquegua,http://www.keneamazon.net/Documents/Projects/Previous-Consultation/Anexos/II.-Aportes-Mesa-de-Trabajo/11.-Oficio-1224-2010-P-GR-MOQ.pdf
Mexico,MichoacandeOcampo,http://www.dgb.umich.mx/images/PDF/guia_del_ahd.pdf
ElSalvador,SanMiguel,https://miros.cl/wp-content/uploads/2020/01/NCh_351-3-2002_Escalas_Requisitos.pdf
ElSalvador,LaLibertad,http://www.ieee.es/Galerias/fichero/docs_investig/2017/DIEEEINV13-2017_ActasReunion_Horizonte_2040.pdf
Mexico,Zacatecas,http://www.saludzac.gob.mx/home/docs/Transparencia/convenios/Prospera/2018.pdf
Peru,Loreto,http://www.minam.gob.pe/oficina-general-de-asuntos-socio-ambientales/wp-content/uploads/sites/49/2018/03/002-CONSULTA-PREVIA-Compormisos-Yaguas-ENE18.pdf
ElSalvador,LaUnion,https://idus.us.es/xmlui/bitstream/handle/11441/62452/GMARTINEZSALAZARLAT%C3%89CNOLOG%C3%8DAMADERAESCULTURASACRAACTUAL.pdf?sequence=1
Chile,RegiondelBiobio,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=Resolucion-194-EXENTA_12-AGO-2020&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=1148224.2020-08-12.0.0%23
ElSalvador,SanSalvador,http://www.afundacion.org/docs/socialia/subvencions_entidades_deportivas_concello_vigo.pdf
Guatemala,Guatemala,https://www.launion.com.gt/wp-content/uploads/2019/pdfs/LU-Libro-digital-De-Trapiche-a-Ingenio.pdf
Mexico,Queretaro,http://apps1.semarnat.gob.mx/dgiraDocs/documentos/qro/estudios/2019/22QE2019ED058.pdf
Mexico,Oaxaca,https://www.tribunaloaxaca.gob.mx/Transparencia/Consejo/b0c6601b1e6e311c35d3416502052918.PDF
Peru,Puno,https://www.mesadeconcertacion.org.pe/sites/default/files/archivos/2018/documentos/11/a.g_pilcuyo_puno_20_-09_-2018_1_mod.pdf
Peru,Loreto,https://www.muninauta.gob.pe/documentos/008-PresupuestoInstitucional-2019.pdf
Peru,SanMartin,http://www.direprosanmartin.gob.pe/intranet/archivos/documentos/direpro/gestion/2019/04/redi2019_103.pdf
ElSalvador,Morazan,https://www.paho.org/els/index.php?option=com_docman&view=download&alias=521-17-adescrem-canton-maiguero-relumbron-y-mon&category_slug=isan&Itemid=364
Peru,Cusco,https://core.ac.uk/download/pdf/144233721.pdf
Mexico,Hidalgo,https://repository.ucc.edu.co/bitstream/20.500.12494/14792/1/2019_implementacion_cartilla_produccion.pdf
Chile,RegiondelMaule,http://190.9.56.30/transparencia/index.php/cuenta-publica-de-gestion/doc_download/638-cuenta-publica-municipal-ano-2017
Guatemala,Huehuetenango,https://www.minex.gob.gt/MDAA/DATA/MDAA/20200211123944129Aspecto%2019%20contratos%20de%20arrendamiento%20enero%20de%202020.pdf
ElSalvador,Cabanas,https://www.tragsa.es/_layouts/grupotragsa/GetArchivo.aspx/ACTA%20MCC%20E24_2020?n=0000025924_AD_005.pdf&t=999044432
Peru,Ancash,http://www.ecosaf.org/altiplano/Especies%20forestales%20Condesan.pdf
Chile,RegiondeLosLagos,http://documentos.minvu.cl/regionX/seremi/resoluciones_exentas/Documentos/resolucion_ex%20696.pdf
ElSalvador,Morazan,https://www.tsc.gob.hn/web/Auditorias/Informes_de_Auditoria/Sector_Recursos_Naturales_Ambiente/2013/001-2013-DARNA-MDP-SS.pdf
Mexico,Colima,http://104.209.210.233/gobmx/2019/2do_T/A73/d/M-09-DLA0057-01-19-DGGPI.pdf
Guatemala,SantaRosa,http://asirsaba.com.co/wp-content/uploads/2019/02/Diagn%C3%B3stico-2-Caloto-Cauca1.pdf
ElSalvador,Cabanas,https://transparencia.info.jalisco.gob.mx/sites/default/files/Decreto%2027229-LXII-19%20Expide%20el%20Codigo%20de%20Asistencia%20y%20se%20reformar%20varias%20leyes_0.pdf
Guatemala,SantaRosa,http://www.uchile.cl/documentos/presentacion-del-curso_79901_0.pdf
Guatemala,SantaRosa,http://www.esap.edu.co/portal/download/plan_ambiental/1.Plan-de-Manejo-Ambiental.pdf
Peru,SanMartin,http://200.70.33.130/images2/Biblioteca/OM-SanMartinAndes_10333-2014_CCT.pdf
Peru,Cusco,http://spij.minjus.gob.pe/normas/textos/150213T.pdf
Mexico,Sinaloa,http://www.mocorito.gob.mx/transparencia/Secretaria/2017/Marco-Juridico/Comite-Adquisiciones.pdf
Chile,RegiondeCoquimbo,https://municipalidadovalle.cl/sitio/wp-content/uploads/2020/08/ESTABLECIMIENTO-BEBIDAS-ALCOHOLICAS.pdf
Mexico,Hidalgo,https://espejored.com/wp-content/uploads/2019/01/65.pdf
